departamento,anio,dia_semana,siniestros
AREQUIPA,2008,LUNES,829
AREQUIPA,2008,MARTES,706
AREQUIPA,2008,MIÉRCOLES,699
AREQUIPA,2008,JUEVES,740
AREQUIPA,2008,VIERNES,862
AREQUIPA,2008,SÁBADO,967
AREQUIPA,2008,DOMINGO,791
AREQUIPA,2009,LUNES,735
AREQUIPA,2009,MARTES,691
AREQUIPA,2009,MIÉRCOLES,708
AREQUIPA,2009,JUEVES,732
AREQUIPA,2009,VIERNES,883
AREQUIPA,2009,SÁBADO,867
AREQUIPA,2009,DOMINGO,677
AREQUIPA,2010,LUNES,683
AREQUIPA,2010,MARTES,690
AREQUIPA,2010,MIÉRCOLES,645
AREQUIPA,2010,JUEVES,659
AREQUIPA,2010,VIERNES,748
AREQUIPA,2010,SÁBADO,753
AREQUIPA,2010,DOMINGO,631
AREQUIPA,2011,LUNES,764
AREQUIPA,2011,MARTES,749
AREQUIPA,2011,MIÉRCOLES,719
AREQUIPA,2011,JUEVES,795
AREQUIPA,2011,VIERNES,971
AREQUIPA,2011,SÁBADO,1005
AREQUIPA,2011,DOMINGO,634
AREQUIPA,2012,LUNES,809
AREQUIPA,2012,MARTES,769
AREQUIPA,2012,MIÉRCOLES,744
AREQUIPA,2012,JUEVES,743
AREQUIPA,2012,VIERNES,851
AREQUIPA,2012,SÁBADO,990
AREQUIPA,2012,DOMINGO,798
AREQUIPA,2013,LUNES,839
AREQUIPA,2013,MARTES,840
AREQUIPA,2013,MIÉRCOLES,841
AREQUIPA,2013,JUEVES,827
AREQUIPA,2013,VIERNES,1056
AREQUIPA,2013,SÁBADO,1148
AREQUIPA,2013,DOMINGO,887
AREQUIPA,2014,LUNES,733
AREQUIPA,2014,MARTES,695
AREQUIPA,2014,MIÉRCOLES,754
AREQUIPA,2014,JUEVES,719
AREQUIPA,2014,VIERNES,894
AREQUIPA,2014,SÁBADO,1018
AREQUIPA,2014,DOMINGO,817
AREQUIPA,2015,LUNES,685
AREQUIPA,2015,MARTES,679
AREQUIPA,2015,MIÉRCOLES,678
AREQUIPA,2015,JUEVES,738
AREQUIPA,2015,VIERNES,807
AREQUIPA,2015,SÁBADO,906
AREQUIPA,2015,DOMINGO,689
AREQUIPA,2016,LUNES,658
AREQUIPA,2016,MARTES,703
AREQUIPA,2016,MIÉRCOLES,726
AREQUIPA,2016,JUEVES,706
AREQUIPA,2016,VIERNES,853
AREQUIPA,2016,SÁBADO,967
AREQUIPA,2016,DOMINGO,797
AREQUIPA,2017,LUNES,659
AREQUIPA,2017,MARTES,647
AREQUIPA,2017,MIÉRCOLES,699
AREQUIPA,2017,JUEVES,627
AREQUIPA,2017,VIERNES,881
AREQUIPA,2017,SÁBADO,944
AREQUIPA,2017,DOMINGO,700
AREQUIPA,2018,LUNES,651
AREQUIPA,2018,MARTES,584
AREQUIPA,2018,MIÉRCOLES,659
AREQUIPA,2018,JUEVES,665
AREQUIPA,2018,VIERNES,839
AREQUIPA,2018,SÁBADO,923
AREQUIPA,2018,DOMINGO,780
AREQUIPA,2019,LUNES,663
AREQUIPA,2019,MARTES,687
AREQUIPA,2019,MIÉRCOLES,665
AREQUIPA,2019,JUEVES,717
AREQUIPA,2019,VIERNES,790
AREQUIPA,2019,SÁBADO,907
AREQUIPA,2019,DOMINGO,713
AREQUIPA,2020,LUNES,384
AREQUIPA,2020,MARTES,373
AREQUIPA,2020,MIÉRCOLES,473
AREQUIPA,2020,JUEVES,461
AREQUIPA,2020,VIERNES,506
AREQUIPA,2020,SÁBADO,541
AREQUIPA,2020,DOMINGO,272
AREQUIPA,2021,LUNES,573
AREQUIPA,2021,MARTES,582
AREQUIPA,2021,MIÉRCOLES,607
AREQUIPA,2021,JUEVES,714
AREQUIPA,2021,VIERNES,779
AREQUIPA,2021,SÁBADO,790
AREQUIPA,2021,DOMINGO,556
AREQUIPA,2022,LUNES,604
AREQUIPA,2022,MARTES,678
AREQUIPA,2022,MIÉRCOLES,692
AREQUIPA,2022,JUEVES,647
AREQUIPA,2022,VIERNES,808
AREQUIPA,2022,SÁBADO,884
AREQUIPA,2022,DOMINGO,704
AREQUIPA,2023,LUNES,629
AREQUIPA,2023,MARTES,580
AREQUIPA,2023,MIÉRCOLES,764
AREQUIPA,2023,JUEVES,640
AREQUIPA,2023,VIERNES,823
AREQUIPA,2023,SÁBADO,1010
AREQUIPA,2023,DOMINGO,748
AREQUIPA,2024,LUNES,635
AREQUIPA,2024,MARTES,627
AREQUIPA,2024,MIÉRCOLES,717
AREQUIPA,2024,JUEVES,701
AREQUIPA,2024,VIERNES,964
AREQUIPA,2024,SÁBADO,1197
AREQUIPA,2024,DOMINGO,763
AYACUCHO,2008,LUNES,53
AYACUCHO,2008,MARTES,70
AYACUCHO,2008,MIÉRCOLES,50
AYACUCHO,2008,JUEVES,128
AYACUCHO,2008,VIERNES,193
AYACUCHO,2008,SÁBADO,150
AYACUCHO,2008,DOMINGO,108
AYACUCHO,2009,LUNES,62
AYACUCHO,2009,MARTES,65
AYACUCHO,2009,MIÉRCOLES,65
AYACUCHO,2009,JUEVES,68
AYACUCHO,2009,VIERNES,141
AYACUCHO,2009,SÁBADO,138
AYACUCHO,2009,DOMINGO,74
AYACUCHO,2010,LUNES,211
AYACUCHO,2010,MARTES,207
AYACUCHO,2010,MIÉRCOLES,169
AYACUCHO,2010,JUEVES,172
AYACUCHO,2010,VIERNES,282
AYACUCHO,2010,SÁBADO,221
AYACUCHO,2010,DOMINGO,218
AYACUCHO,2011,LUNES,124
AYACUCHO,2011,MARTES,122
AYACUCHO,2011,MIÉRCOLES,133
AYACUCHO,2011,JUEVES,148
AYACUCHO,2011,VIERNES,144
AYACUCHO,2011,SÁBADO,197
AYACUCHO,2011,DOMINGO,138
AYACUCHO,2012,LUNES,145
AYACUCHO,2012,MARTES,105
