mes,anio,condicion,victimas
OCTUBRE,2010,MUERTOS,93
OCTUBRE,2010,HERIDOS,457
OCTUBRE,2009,MUERTOS,61
OCTUBRE,2009,HERIDOS,377
OCTUBRE,2007,MUERTOS,89
OCTUBRE,2007,HERIDOS,521
NOVIEMBRE,2022,MUERTOS,48
NOVIEMBRE,2022,HERIDOS,371
NOVIEMBRE,2021,MUERTOS,76
NOVIEMBRE,2021,HERIDOS,571
NOVIEMBRE,2020,MUERTOS,35
NOVIEMBRE,2020,HERIDOS,439
NOVIEMBRE,2019,MUERTOS,55
NOVIEMBRE,2019,HERIDOS,618
NOVIEMBRE,2018,MUERTOS,78
NOVIEMBRE,2018,HERIDOS,523
NOVIEMBRE,2017,MUERTOS,56
NOVIEMBRE,2017,HERIDOS,456
NOVIEMBRE,2016,MUERTOS,75
NOVIEMBRE,2016,HERIDOS,687
NOVIEMBRE,2015,MUERTOS,58
NOVIEMBRE,2015,HERIDOS,348
NOVIEMBRE,2014,MUERTOS,66
NOVIEMBRE,2014,HERIDOS,532
NOVIEMBRE,2013,MUERTOS,68
NOVIEMBRE,2013,HERIDOS,387
NOVIEMBRE,2012,MUERTOS,67
NOVIEMBRE,2012,HERIDOS,276
NOVIEMBRE,2011,MUERTOS,56
NOVIEMBRE,2011,HERIDOS,487
NOVIEMBRE,2010,MUERTOS,117
NOVIEMBRE,2010,HERIDOS,408
NOVIEMBRE,2009,MUERTOS,73
NOVIEMBRE,2009,HERIDOS,373
NOVIEMBRE,2007,MUERTOS,76
NOVIEMBRE,2007,HERIDOS,367
DICIEMBRE,2022,MUERTOS,56
DICIEMBRE,2022,HERIDOS,501
DICIEMBRE,2021,MUERTOS,61
DICIEMBRE,2021,HERIDOS,633
DICIEMBRE,2020,MUERTOS,62
DICIEMBRE,2020,HERIDOS,552
DICIEMBRE,2019,MUERTOS,70
DICIEMBRE,2019,HERIDOS,882
DICIEMBRE,2018,MUERTOS,62
DICIEMBRE,2018,HERIDOS,507
DICIEMBRE,2017,MUERTOS,61
DICIEMBRE,2017,HERIDOS,525
DICIEMBRE,2016,MUERTOS,66
DICIEMBRE,2016,HERIDOS,549
DICIEMBRE,2015,MUERTOS,61
DICIEMBRE,2015,HERIDOS,534
DICIEMBRE,2014,MUERTOS,73
DICIEMBRE,2014,HERIDOS,578
DICIEMBRE,2013,MUERTOS,95
DICIEMBRE,2013,HERIDOS,503
DICIEMBRE,2012,MUERTOS,84
DICIEMBRE,2012,HERIDOS,562
DICIEMBRE,2011,MUERTOS,75
DICIEMBRE,2011,HERIDOS,542
DICIEMBRE,2010,MUERTOS,73
DICIEMBRE,2010,HERIDOS,471
DICIEMBRE,2009,MUERTOS,80
DICIEMBRE,2009,HERIDOS,423
DICIEMBRE,2007,MUERTOS,57
DICIEMBRE,2007,HERIDOS,757
