departamento,anio,tipo_siniestro,siniestros
APURIMAC,2020,CHOQUE Y ATROPELLO,3
APURIMAC,2020,DESPISTE Y VOLCADURA,55
APURIMAC,2020,COLISIÓN Y FUGA,0
APURIMAC,2020,COLISIÓN,4
APURIMAC,2020,OTRO,17
APURIMAC,2021,ATROPELLO,119
APURIMAC,2021,ATROPELLO Y FUGA,6
APURIMAC,2021,CHOQUE,429
APURIMAC,2021,CHOQUE Y FUGA,23
APURIMAC,2021,VOLCADURA,37
APURIMAC,2021,CAIDA DE PASAJERO,5
APURIMAC,2021,INCENDIO,0
APURIMAC,2021,DESPISTE,218
APURIMAC,2021,CHOQUE Y ATROPELLO,8
APURIMAC,2021,DESPISTE Y VOLCADURA,56
APURIMAC,2021,COLISIÓN Y FUGA,1
APURIMAC,2021,COLISIÓN,1
APURIMAC,2021,OTRO,21
APURIMAC,2022,ATROPELLO,130
APURIMAC,2022,ATROPELLO Y FUGA,14
APURIMAC,2022,CHOQUE,369
APURIMAC,2022,CHOQUE Y FUGA,24
APURIMAC,2022,VOLCADURA,56
APURIMAC,2022,CAIDA DE PASAJERO,3
APURIMAC,2022,INCENDIO,0
APURIMAC,2022,DESPISTE,163
APURIMAC,2022,CHOQUE Y ATROPELLO,6
APURIMAC,2022,DESPISTE Y VOLCADURA,66
APURIMAC,2022,COLISIÓN Y FUGA,0
APURIMAC,2022,COLISIÓN,5
APURIMAC,2022,OTRO,24
APURIMAC,2023,ATROPELLO,123
APURIMAC,2023,ATROPELLO Y FUGA,5
APURIMAC,2023,CHOQUE,317
APURIMAC,2023,CHOQUE Y FUGA,30
APURIMAC,2023,VOLCADURA,39
APURIMAC,2023,CAIDA DE PASAJERO,8
APURIMAC,2023,INCENDIO,1
APURIMAC,2023,DESPISTE,118
APURIMAC,2023,CHOQUE Y ATROPELLO,5
APURIMAC,2023,DESPISTE Y VOLCADURA,24
APURIMAC,2023,COLISIÓN Y FUGA,0
APURIMAC,2023,COLISIÓN,1
APURIMAC,2023,OTRO,49
APURIMAC,2024,ATROPELLO,113
APURIMAC,2024,ATROPELLO Y FUGA,14
APURIMAC,2024,CHOQUE,293
APURIMAC,2024,CHOQUE Y FUGA,21
APURIMAC,2024,VOLCADURA,39
APURIMAC,2024,CAIDA DE PASAJERO,6
APURIMAC,2024,INCENDIO,2
APURIMAC,2024,DESPISTE,141
APURIMAC,2024,CHOQUE Y ATROPELLO,5
APURIMAC,2024,DESPISTE Y VOLCADURA,36
APURIMAC,2024,COLISIÓN Y FUGA,4
APURIMAC,2024,COLISIÓN,6
APURIMAC,2024,OTRO,23
AREQUIPA,2008,ATROPELLO,1354
AREQUIPA,2008,ATROPELLO Y FUGA,218
AREQUIPA,2008,CHOQUE,2502
AREQUIPA,2008,CHOQUE Y FUGA,508
AREQUIPA,2008,VOLCADURA,142
AREQUIPA,2008,CAIDA DE PASAJERO,332
AREQUIPA,2008,INCENDIO,31
AREQUIPA,2008,OTRO,507
AREQUIPA,2009,ATROPELLO,1248
AREQUIPA,2009,ATROPELLO Y FUGA,165
